t_index term df
933 ballo 1
934 balloon 3
935 ballot 72
936 ballroom 2
937 ballstrik 1
938 balonia 1
939 balsamo 1
940 baltimor 3
941 baltin 1
942 bamba 3
943 bambi 1
944 bamboo 2
945 bamboosupport 2
946 bament 1
947 ban 24
948 banco 1
949 band 11
950 bandag 8
951 bandanna 3
952 bandit 1
953 bang 7
954 bangalor 1
955 bangaru 3
956 bangladesh 5
957 bank 68
958 banker 10
959 bankfraud 1
960 bankrupt 5
961 bankruptci 4
962 banner 9
963 bannon 1
964 banquet 1
965 baptist 5
966 bar 54
967 barak 9
968 barb 4
969 barbar 2
970 barbara 24
971 barber 1
972 barbershop 1
973 barcelona 1
974 bare 46
975 barefacedli 1
976 barent 36
977 barg 3
978 bargain 9
979 bari 1
980 bark 1
981 barkina 2
982 barkolla 1
983 barkova 3
984 barna 4
985 barney 1
986 barnstorm 1
987 barot 1
988 barov 1
989 barr 1
990 barrack 35
991 barrag 2
992 barrel 2
993 barrera 2
994 barri 1
995 barricad 18
996 barrier 12
997 bartlett 1
998 barua 5
999 base 166
1000 basebal 4
1001 baseballstyl 1
1002 baseerod 1
1003 baselin 16
1004 baselinebound 1
1005 basement 1
1006 basher 1
1007 bashraheel 1
1008 bashrahel 1
1009 basi 15
1010 basic 43
1011 basilica 1
1012 bask 2
1013 basket 3
1014 basketbal 1
1015 basset 1
1016 bassiouni 1
1017 bastion 6
1018 batch 1
1019 bath 4
1020 bathroom 3
1021 bathtub 1
1022 batic 2
1023 baton 4
1024 battalion 3
1025 batten 1
1026 batter 8
1027 batteri 1
1028 batteryoper 1
1029 battl 76
1030 battlefield 4
1031 battleground 8
1032 battleharden 2
1033 bauman 6
1034 bautista 1
1035 bavaria 1
1036 bay 7
1037 bazaar 1
1038 bbc 29
1039 be 1
1040 beach 17
1041 beachfront 1
1042 bead 1
1043 beal 1
1044 beam 13
1045 bean 3
1046 bear 23
1047 beard 18
1048 bearer 2
1049 beat 79
1050 beaten 31
1051 beater 3
1052 beaumontbas 1
1053 beauti 6
1054 beaver 1
1055 becam 104
1056 becausec 1
1057 beci 2
1058 becker 1
1059 becom 115
1060 bed 35
1061 bedanova 2
1062 bedi 12
1063 bedouin 1
1064 bedroom 6
1065 bedsheet 1
1066 beef 6
1067 beer 2
1068 befit 1
1069 befriend 1
1070 befuddl 1
1071 beg 4
1072 began 156
1073 beggar 1
1074 begin 151
1075 begun 31
1076 behalf 8
1077 behan 1
1078 behari 3
1079 behav 9
1080 behavior 10
1081 behind 155
1082 behindthescen 2
1083 beholden 3
1084 beij 3
1085 beirut 9
1086 bekki 3
1087 belaru 1
1088 belch 1
1089 beleagu 3
1090 belgian 5
1091 belgium 6
1092 belgrad 100
1093 beli 1
1094 belida 3
1095 belief 17
1096 believ 292
1097 belittl 1
1098 bell 4
1099 belliger 1
1100 belong 31
1101 belov 5
1102 belt 8
1103 bema 2
1104 bemoan 1
1105 ben 5
1106 bench 4
1107 benchmark 1
1108 bend 2
1109 beneath 31
1110 benefactor 2
1111 benefici 1
1112 beneficiari 1
1113 benefit 17
1114 benevol 7
1115 benign 1
1116 benin 8
1117 benito 1
1118 benjamin 2
1119 bennett 1
1120 benni 1
1121 bent 13
1122 benton 1
1123 bequeath 1
1124 berat 1
1125 bere 1
1126 beresich 1
1127 beretta 1
1128 bergen 1
1129 berger 25
1130 berlin 8
1131 bernstein 2
1132 bershard 1
1133 bershevski 1
1134 berth 2
1135 beschloss 1
1136 beset 2
1137 besid 27
1138 besieg 4
1139 bespectacl 2
1140 best 94
1141 bestequip 1
1142 bestkept 1
1143 bestknown 6
1144 bet 4
1145 beta 7
1146 betajon 1
1147 beth 1
1148 betray 4
1149 betrisia 1
1150 better 119
1151 bettertrain 1
1152 bevan 1
1153 beveneari 1
1154 bewild 1
1155 beyond 37
1156 bhaba 2
1157 bhachau 4
1158 bhagat 1
1159 bhakta 1
1160 bharatiya 3
1161 bharpi 3
1162 bhaskar 5
1163 bhat 1
1164 bhatt 1
1165 bhavesh 1
1166 bhowmik 1
1167 bhug 1
1168 bhuj 33
1169 bia 1
1170 biafran 2
1171 biarritz 3
1172 bias 8
1173 bibl 4
1174 bibleread 1
1175 biblic 1
1176 bicker 3
1177 bicycl 5
1178 bid 50
1179 bidanora 1
1180 big 76
1181 bigciti 1
1182 bigger 8
1183 biggest 39
1184 bigot 1
1185 bigticket 1
1186 bihari 10
1187 bilater 8
1188 bilingu 1
1189 bill 68
1190 billboard 2
1191 billet 1
